date,total_articles,candidate_count,gpr_positive_count,positive_share,mean_score,gpr_sum,gpr_index,gpr_acts_index,gpr_threats_index,gpr_7ma,gpr_30ma,is_imputed,impute_method
2025-01-01,83831.0,11120.0,11120.0,0.1326478271761043,0.6334858370501659,7044.362507997845,110.15805509233783,105.93670213726867,193.61100684565275,110.15805509233783,110.15805509233783,False,none
2025-01-02,123512.0,17415.0,17414.0,0.1409903491158753,0.6338435454708514,11037.751500829409,128.09009831833228,116.6767175108267,487.8159047349099,119.12407670533506,119.12407670533506,False,none
2025-01-03,133148.0,15336.0,15336.0,0.1151801003394718,0.6377055566233927,9779.85241637635,73.35267949648319,72.15552754724327,91.58356289126088,103.86694430238443,103.86694430238443,False,none
2025-01-04,81995.0,9626.0,9626.0,0.1173974022806268,0.6491136352047427,6248.367852480854,80.27324471934017,79.81774827049865,79.68578220734899,97.96851940662337,97.96851940662337,False,none
2025-01-05,66832.0,8385.0,8385.0,0.1254638496528609,0.6489869535061196,5441.755605148813,101.97511322839011,102.2730083112687,76.66284370198596,98.76983817097673,98.76983817097673,False,none
2025-01-06,137681.0,16034.0,16033.0,0.1164503453635577,0.6274493397577229,10059.895264335571,72.41597420335384,72.41560069069371,63.070972127581534,94.37752750970624,94.37752750970624,False,none
2025-01-07,156160.0,17573.0,17573.0,0.1125320184426229,0.6127293023072968,10767.492029446126,62.82845638142197,58.571918428198266,191.63426155469352,89.87051734852277,89.87051734852277,False,none
2025-01-08,158863.0,15231.0,15231.0,0.0958750621604778,0.6269766317284793,9549.481077856468,44.891737294290614,45.41744532107306,27.004181346042966,80.54675766308745,84.24816984174375,False,none
2025-01-09,156194.0,16128.0,16128.0,0.1032562070245976,0.6319820772780302,10192.606942340071,54.89629180829083,55.71247754253362,30.331181752007836,70.09049959022438,80.98685006024898,False,none
2025-01-10,151600.0,15100.0,15099.0,0.0995976253298153,0.6336922788211183,9568.119717920066,50.58640998723467,51.290162328791794,28.687078943457713,66.83817537461746,77.94680605294755,False,none
2025-01-11,86523.0,10272.0,10270.0,0.1186967627104931,0.6340988018009893,6512.19469449616,77.8720231432648,77.93044042694137,66.61737572584984,66.4951437208924,77.94000760661275,False,none
2025-01-12,67608.0,8443.0,8442.0,0.1248668796592119,0.6269689860641905,5292.8721803538965,92.61772614014963,93.75447015735153,50.82069854685687,65.15837413685804,79.16315081774083,False,none
2025-01-13,136559.0,14687.0,14686.0,0.1075432596899508,0.6280488218674941,9223.52499794602,59.728884551959176,60.62843867536473,32.827355607878715,63.345932758087386,77.66820725883454,False,none
2025-01-14,161674.0,17087.0,17086.0,0.105681804124349,0.6303913918636586,10770.86732138247,57.75205446781436,57.91792188080227,43.468772611309866,62.62073248471487,76.24562491661882,False,none
2025-01-15,161594.0,18133.0,18133.0,0.1122133247521566,0.6440416607527543,11678.407434429691,70.49686269692954,70.4845377934158,57.07994216635438,66.27860754223471,75.86237410197286,False,none
2025-01-16,159986.0,17370.0,17370.0,0.1085720000500043,0.6386193546706416,11092.818190629045,63.69033341607102,64.83692484759187,32.24937232107267,67.53489920048904,75.101621559104,False,none
2025-01-17,158100.0,15692.0,15691.0,0.0992473118279569,0.6356512108602967,9974.003149608916,50.532283885190694,51.06808309690827,31.296921272121654,67.52716690019703,73.65636640181499,False,none
2025-01-18,92164.0,10725.0,10723.0,0.116346946747103,0.637352860539381,6834.334723563782,75.08484866511118,76.10936757672779,42.8887523367915,67.12899911760366,73.73572652755367,False,none
2025-01-19,77576.0,10198.0,10197.0,0.1314452923584614,0.6518147755988783,6646.555266781763,115.52477171067837,116.84953140030747,69.9414271453287,70.40143419910775,75.93514995824444,False,none
2025-01-20,125095.0,15637.0,15637.0,0.1250009992405771,0.6314853443543956,9874.536329669683,94.50908312152153,94.05980848421767,85.07958128852798,75.37003399475952,76.8638466164083,False,none
2025-01-21,157461.0,20538.0,20538.0,0.1304322975212909,0.64324014655232,13210.866129891549,109.73705187881738,112.07261783663695,46.80502344826569,82.79646219633139,78.42923734318967,False,none
2025-01-22,164783.0,18345.0,18345.0,0.1113282316743838,0.6312586010890765,11580.439036979107,65.82830135757287,66.9137484579459,34.77909488777242,82.12952486213759,77.85646752566164,False,none
2025-01-23,162494.0,19001.0,19001.0,0.1169335483156301,0.630501551361701,11980.159977423682,74.02930744945216,73.74353760279479,70.52459705390693,83.6065211526206,77.69006926147861,False,none
2025-01-24,152503.0,17872.0,17870.0,0.1171780227274217,0.6265286645808996,11196.067236060677,73.26560708255052,70.79619911992101,128.04597715164735,86.85413875224344,77.50571667068995,False,none
2025-01-25,90731.0,13262.0,13261.0,0.1461573221941784,0.6535462086920677,8666.67627346551,150.7935743215046,156.03305725088913,41.86270360013724,97.66967098887108,80.43723097672253,False,none
2025-01-26,70669.0,11959.0,11959.0,0.1692255444395703,0.6667554956637217,7973.728972642448,226.78021903593566,236.81335783571515,44.22621655227604,113.56330632105066,86.06580744053842,False,none
2025-01-27,130850.0,16539.0,16539.0,0.1263966373710355,0.649373423149538,10739.98704547021,103.99418637135244,105.35891847517999,55.78042439852954,114.91832107102651,86.72982147501301,False,none
2025-01-28,154582.0,17021.0,17020.0,0.1101033755547217,0.6250296052421497,10638.003881221388,62.530186818679475,60.586816679035174,104.14601497697127,108.17448320529253,85.86554880871539,False,none
2025-01-29,159313.0,15883.0,15882.0,0.099690546283103,0.6207072640705182,9858.072767967971,48.19441359222806,47.01118211573828,70.93556673922676,105.65535638167184,84.56654414607789,False,none
2025-01-30,156575.0,15780.0,15780.0,0.1007823726648571,0.6404927517924093,10106.97562328422,53.45320939532448,53.11926635130016,49.76777232979195,102.71591380251074,83.52943298771945,False,none
2025-01-31,152028.0,14135.0,14135.0,0.0929762938406083,0.6175355786554351,8728.865404294575,40.119504181535625,39.32494364748184,49.788786112433456,97.98075624522289,81.19481462402605,False,none
2025-02-01,92527.0,11388.0,11388.0,0.1230775881634549,0.6339781072580761,7219.742685454971,91.86835078947377,82.99168724779256,124.7225495040575,89.56286716921849,79.98742303973077,False,none
2025-02-02,75245.0,11568.0,11568.0,0.1537377898863711,0.6318643945548141,7309.40731621009,157.13992929429358,156.10272442568973,147.46563311123518,79.6142543489839,82.78033136632443,False,none
2025-02-03,142725.0,18337.0,18337.0,0.1284778420038535,0.6290386660683714,11534.682019695729,100.12306718329522,103.20550291117866,31.779479447618364,79.0612373221186,83.44199211512294,False,none
2025-02-04,153991.0,18577.0,18576.0,0.120630426453494,0.6257208613183651,11623.390719849953,78.41941536766353,77.37762817086026,91.89694100830512,81.33112711483061,82.65680218643206,False,none
2025-02-05,158551.0,18215.0,18215.0,0.1148841697624108,0.6333466589691256,11536.409393122622,71.6771670948591,70.8454241353442,81.0455141205534,84.68580618663505,82.63217528281555,False,none
