date,total_articles,candidate_count,gpr_positive_count,positive_share,mean_score,gpr_sum,acts_sum,threats_sum,raw_ratio,acts_ratio,threats_ratio,gpr_index,gpr_acts_index,gpr_threats_index,gpr_7ma,gpr_30ma
2026-01-01,8459,1124,1124,0.1328762265043149,0.6118109224160506,687.6754767956409,642.5064325850442,45.16904421059655,0.0812951267047689,0.075955365005916,0.0053397616988528,67.00437359759312,62.58879506138108,175.33210897991611,,
2026-01-02,11640,1335,1335,0.1146907216494845,0.6473822734652439,864.2553350761007,831.521754368865,32.73358070723572,0.0742487401268127,0.0714365768358131,0.0028121632909996,53.65786197606457,53.85597995108389,33.74103618169661,,
2026-01-03,8775,1364,1364,0.1554415954415954,0.6542721119530807,892.4271607040021,869.404655189926,23.02250551407601,0.101701100934929,0.0990774535828975,0.0026236473520314,125.2612394929027,129.6255105026741,28.466068071482976,,
2026-01-04,6960,1185,1185,0.1702586206896551,0.637752606239654,755.7368383939901,722.9023245067035,32.834513887286604,0.1085828790795962,0.1038652765095838,0.0047176025700124,147.0564799776949,145.51392867388483,129.43453612624154,,
2026-01-05,13827,1779,1779,0.1286613148188327,0.6346018477279677,1128.9566871080544,1091.104656007995,37.852031100059776,0.081648708115141,0.0789111633765816,0.0027375447385593,67.7206198063227,68.72544631167591,31.589598602114027,,
2026-01-06,16104,1902,1902,0.118107302533532,0.640530045099311,1218.2881457788894,1171.1423513421228,47.14579443676677,0.0756512758183612,0.0727236929546772,0.0029275828636839,56.175238502393334,56.26449054407258,37.235452544220706,,
2026-01-07,16340,1984,1984,0.1214198286413708,0.6120082722896535,1214.2244122226723,1114.5885345243814,99.63587769829113,0.0743099395485111,0.0682122726147112,0.0060976669337999,53.76628391215685,48.094071809557484,242.70790556127216,,
2026-01-08,33138,3914,3914,0.1181121371235439,0.6001878682469479,2349.135316318554,2122.8023627497146,226.33295356883988,0.070889471794271,0.0640594593140718,0.0068300124801991,47.90384355396379,41.23418206373323,320.4538761024545,,
2026-01-09,31795,3619,3619,0.1138229281333543,0.6220955673035201,2251.363858071439,2106.41577816056,144.94807991087885,0.0708087390492668,0.0662499065312332,0.0045588325180336,47.770292981719095,44.774658999405624,119.02118570726725,,
2026-01-10,18026,2115,2115,0.1173305225784977,0.6231321913135707,1317.924584628202,1246.1973802966604,71.72720433154153,0.0731124256423056,0.0691333285419205,0.003979097100385,51.66822218262826,49.70071887920703,85.29134771833066,,
2026-01-11,14411,2068,2068,0.1435014919158976,0.6494208398911676,1343.0022968949347,1296.802082112188,46.20021478274668,0.0931928594056578,0.0899869601077085,0.0032058992979492,101.12448273234827,102.39814862310865,46.51427995803856,,
2026-01-12,28966,3830,3830,0.1322239867430781,0.6270591048633354,2401.6363716265746,2282.109062070756,119.5273095558183,0.082912254768576,0.0787857854750658,0.0041264692935102,70.31710375482798,68.4582282777617,93.23961555794949,,
2026-01-13,33328,3969,3969,0.1190890542486797,0.6326564720991183,2511.0135377614006,2402.0027375667955,109.01080019460495,0.0753424609265902,0.0720716135851775,0.0032708473414127,55.61508562351596,55.036496141361916,48.856998069770015,,
2026-01-14,33847,3828,3828,0.1130971725706857,0.6187288937683749,2368.494205345339,2236.3630313921517,132.1311739531871,0.0699764884729913,0.0660727104733699,0.0039037779996214,46.406397099295184,44.48182295953178,81.39006319011278,,
2026-01-15,34180,3849,3849,0.1126097132826214,0.6433276388480434,2476.168081926119,2401.5528641747483,74.61521775137133,0.072444940957464,0.0702619328313267,0.0021830081261372,50.520175465938856,51.712150967871615,18.142399189210547,,
2026-01-16,32133,3089,3089,0.0961317026110229,0.6324329903527001,1953.5855071994904,1873.6179402472944,79.96756695219615,0.0607968601499857,0.0583082171053837,0.002488643044602,32.88167372886562,32.746605892745414,25.010219098799922,,
2026-01-17,19257,2706,2706,0.1405203302695123,0.6271538098448286,1697.078209440106,1635.809641507382,61.26856793272412,0.0881278604891782,0.0849462346942609,0.0031816257949173,88.18531232148825,88.910951423389,45.65616172079401,,
2026-01-18,15144,2089,2089,0.1379424194400422,0.657131931080105,1372.7486040263393,1343.0928681347127,29.6557358916263,0.0906463684644967,0.0886881186037184,0.0019582498607782,94.48815215379605,98.81490654369858,13.902277749787048,,
2026-01-19,24478,2964,2964,0.1210883242094942,0.6402679189166279,1897.7541116688851,1831.2246517098504,66.52945995903488,0.0775289693467148,0.0748110405960393,0.0027179287506754,59.652949554973866,60.3037514576191,31.037902973064362,,
2026-01-20,31561,3583,3583,0.1135261873831627,0.625675717378519,2241.7960953672336,2141.1811176569818,100.614977710252,0.0710305787322085,0.0678426259515535,0.0031879527806549,48.13779705528417,47.45804756567105,45.87892269689618,,
2026-01-21,34416,3588,3588,0.1042538354253835,0.6300253581208852,2260.5309849377363,2148.831491373826,111.69949356390994,0.0656825599993531,0.0624369912649298,0.0032455687344232,39.737246542471254,38.72230441358916,47.9370817704932,,
2026-01-22,33803,4255,4255,0.1258764015028252,0.6353535656559222,2703.429421865949,2583.397600573865,120.03182129208312,0.0799760205267564,0.0764250983810272,0.0035509221457291,64.37193784532366,63.54137252807451,64.53104223300856,,
2026-01-23,32989,3560,3560,0.1079147594652763,0.6205290720255181,2209.0834964108444,2084.136989439299,124.9465069715457,0.0669642455488449,0.0631767252550637,0.0037875202937811,41.663945835063586,39.85596206488981,75.57924227975874,,
2026-01-24,20397,2526,2526,0.1238417414325636,0.6248693375657068,1578.4199466909754,1503.1318934326882,75.28805325828722,0.0773849069319495,0.0736937732721816,0.0036911336597679,59.38174349866713,58.12109940516883,70.95357813944855,,
2026-01-25,15144,1772,1772,0.1170100369783412,0.6372688034046557,1129.24031963305,1067.786925589901,61.45339404314865,0.074566846251522,0.0705089095080494,0.0040579367434725,54.22283816234257,52.15862939839222,89.49129221924463,,
2026-01-26,26823,3448,3448,0.1285463967490586,0.6344007085239779,2187.4136429906757,2089.827209816872,97.58643317380351,0.0815499251758071,0.0779117626595411,0.003638162516266,67.52006244861263,66.6125100680372,68.48476874773766,,
2026-01-27,32222,3734,3734,0.1158835578176401,0.6408818192738932,2393.052713168717,2309.10259135915,83.9501218095669,0.0742676653581005,0.0716622987821721,0.0026053665759284,53.691376403665956,54.273855914961544,27.982580170295464,,
2026-01-28,34663,3671,3671,0.1059054323053399,0.6279873846362342,2305.3416889996156,2194.494834304466,110.84685469514896,0.0665072754522002,0.0633094317948379,0.0031978436573622,40.97080815878328,40.06138819779037,46.2284478619286,,
2026-01-29,32279,3444,3443,0.1066637752098887,0.6140745414843104,2114.2586463304806,1991.1715529677151,123.08709336276524,0.065499508854998,0.0616862837438494,0.0038132251111485,39.46647175902168,37.591569925440005,76.84212198266044,,
2026-01-30,33539,3864,3864,0.1152091594859715,0.6163295264504324,2381.4972902044706,2255.877743410109,125.61954679436148,0.0710068067087411,0.0672613298968397,0.0037454768119014,48.09833608957534,46.46797298410395,73.54028132687395,,
2026-01-31,20164,2200,2200,0.1091053362428089,0.6347249633722722,1396.3949194189988,1343.796819275659,52.59810014334025,0.0692518805504363,0.0666433653677672,0.0026085151826691,45.23790101561929,45.42896367731167,28.06550485750275,,
