year_month,gpr_index,gpr_acts_index,gpr_threats_index
2025-01,83.88312973426837,83.74914808905596,56.67876693911562
2025-02,87.86807185821753,89.23686180073926,15.229619285390594
2025-03,115.15504706116164,123.58537471481785,7.334530285078569
2025-04,132.11915650307205,133.140080972921,62.60275608496459
2025-05,122.54550080349561,122.31060887476796,57.935200203896784
2025-06,110.41995612747158,104.75894321173041,288.23958811046947
2025-07,82.61871905496577,80.64106268737358,42.88546508706193
2025-08,106.69807942989243,108.69331088167985,43.486865810715365
2025-09,103.3068382757068,100.77480230905286,62.261058188892754
2025-10,95.4660837615585,98.52747044022317,11.878227273579189
2025-11,68.29214255982336,68.76145700519399,35.41510620748645
2025-12,95.72664018956758,86.85087975361112,604.7278565653666
