year_month,gpr_index,gpr_acts_index,gpr_threats_index,imputed_days,total_days
2025-01,82.98661694787886,82.85406725040681,56.07300461910351,0,31
2025-02,86.92896944053437,88.28313024738556,15.066850580116368,0,28
2025-03,113.92431124533478,122.26453858252809,7.256141457628231,0,31
2025-04,130.70711437365674,131.71712756916412,61.93368029497931,0,30
2025-05,121.23577847037724,121.00339698228515,57.316009576062946,0,31
2025-06,117.7201365968409,113.56723935297217,150.14724975780106,16,30
2025-07,81.34693515346018,79.43122501646003,41.50459872528614,1,31
2025-08,105.55772864904856,107.53163578313348,43.02209379561751,0,31
2025-09,102.20273186326084,99.6977573883144,61.5956343433912,0,30
2025-10,94.445776519448,97.47444419597007,11.75127704337034,0,31
2025-11,67.56226064901759,68.02655923002497,35.036602262212426,0,30
2025-12,94.70354821386373,85.92264872008926,598.2647422608072,0,31
